InvoiceID,FailedFields,ModifiedFields,Provider_Clean,InvoiceAmount_Clean,InvoiceDate_Clean,ContractTitle_Clean,ContractNumber_Clean
INV14219,['ContractNumber'],"['Provider', 'InvoiceAmount']",Showtime Event Group Pty Ltd,183322.95,2029-04-30,Melbourne Town Hall venue management,3670
INV14220,['ContractNumber'],"['Provider', 'InvoiceAmount']",Citywide Service Solutions Pty Ltd,6740.36,2026-10-21,Tree management maintenance services,3678
INV14221,['ContractNumber'],"['Provider', 'InvoiceDate']",Showtime Event Group Pty Ltd,209922.72,2025-07-23,Melbourne Town Hall venue management,3670
INV14222,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,33374.99,2025-01-08,Tree management maintenance services,3678
INV14223,['ContractNumber'],['Provider'],SERCO,214523.39,2028-02-07,Open spaces management - region 2,3677
INV14224,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,7133.41,2028-09-22,Management of Active Melbourne recreation facilities,3615
INV14225,['ContractNumber'],"['Provider', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,122817.06,2028-10-11,Building cleaning services,3634
INV14226,['ContractNumber'],"['Provider', 'InvoiceDate']",Cleanaway Waste Management Limited,249335.37,2027-05-30,Waste management services,3556
INV14227,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,148378.24,2028-09-09,Parking technology services,3623
INV14228,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,100000.0,2028-08-20,Waste management services,3556
INV14229,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,74910.55,2027-06-25,Tree management maintenance services,3678
INV14230,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Nationwide Towing Services,200000.0,2029-07-07,Vehicle tow away and impound services,3585
INV14231,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",SERCO,100000.0,2025-04-15,Open spaces management - region 2,3677
INV14232,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,0.0,2025-09-17,Tree management maintenance services,3678
INV14233,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate', 'ContractTitle']",Showtime Event Group Pty Ltd,100000.0,2028-11-20,Melbourne Town Hall venue management,3670
INV14234,['ContractNumber'],"['Provider', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,207262.67,2026-07-30,Management of Active Melbourne recreation facilities,3615
INV14235,['ContractNumber'],[],Citywide Service Solutions Pty Ltd,56193.14,2028-10-28,Open spaces management - region 1,3676
INV14236,['ContractNumber'],['InvoiceDate'],Cleanaway Waste Management Limited,94537.41,2026-01-09,Waste management services,3556
INV14237,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,33219.42,2027-09-11,Building cleaning services,3634
INV14238,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate', 'ContractTitle']",Programmed Facility Management Pty Ltd,100000.0,2028-03-14,Building maintenance services,3630
INV14239,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,100000.0,2028-05-26,Civil infrastructure services,3665
INV14240,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,115860.95,2026-05-13,Tree management maintenance services,3678
INV14241,['ContractNumber'],['Provider'],Nationwide Towing Services,88560.35,2027-01-17,Vehicle tow away and impound services,3585
INV14242,['ContractNumber'],"['Provider', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,94461.45,2026-07-19,Management of Active Melbourne recreation facilities,3615
INV14243,"['InvoiceDate', 'ContractNumber']",['Provider'],Cleanaway Waste Management Limited,171848.94,,Waste management services,3556
INV14244,['ContractNumber'],"['Provider', 'InvoiceDate', 'ContractTitle']",Victorian YMCA Community Programming Pty Ltd,43864.26,2027-03-26,Management of Active Melbourne recreation facilities,3615
INV14245,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,100000.0,2026-01-18,Open spaces management - region 1,3676
INV14246,['ContractNumber'],"['Provider', 'InvoiceAmount']",Cleanaway Waste Management Limited,116437.62,2029-04-07,Waste management services,3556
INV14247,['ContractNumber'],['InvoiceDate'],Citywide Service Solutions Pty Ltd,86215.82,2027-11-23,Tree management maintenance services,3678
INV14248,['ContractNumber'],"['Provider', 'InvoiceDate']",Cleanaway Waste Management Limited,244229.55,2027-08-09,Waste management services,3556
INV14249,['ContractNumber'],['InvoiceDate'],SERCO,162285.61,2029-05-31,Open spaces management - region 2,3677
INV14250,['ContractNumber'],"['Provider', 'InvoiceAmount']",SERCO,200000.0,2025-04-27,Open spaces management - region 2,3677
INV14251,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",SERCO,132292.73,2025-02-24,Open spaces management - region 2,3677
INV14252,['ContractNumber'],"['Provider', 'InvoiceAmount']",Citywide Service Solutions Pty Ltd,114514.24,2025-12-06,Open spaces management - region 1,3676
INV14253,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",SERCO,183277.2,2027-11-29,Open spaces management - region 2,3677
INV14254,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Nationwide Towing Services,200000.0,2029-05-10,Vehicle tow away and impound services,3585
INV14255,"['InvoiceAmount', 'ContractNumber']","['Provider', 'InvoiceDate']",Programmed Facility Management Pty Ltd,,2025-06-27,Building maintenance services,3630
INV14256,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,235685.53,2026-05-09,Management of Active Melbourne recreation facilities,3615
INV14257,['ContractNumber'],"['Provider', 'InvoiceDate']",SERCO,188998.14,2027-12-07,Open spaces management - region 2,3677
INV14258,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,164863.93,2026-07-13,Open spaces management - region 1,3676
INV14259,['ContractNumber'],['InvoiceDate'],Citywide Service Solutions Pty Ltd,24611.18,2029-04-08,Open spaces management - region 1,3676
INV14260,['ContractNumber'],"['Provider', 'InvoiceDate']",Programmed Facility Management Pty Ltd,249450.56,2029-10-02,Building maintenance services,3630
INV14261,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",SERCO,167140.23,2027-07-22,Open spaces management - region 2,3677
INV14262,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Nationwide Towing Services,104135.94,2028-11-03,Vehicle tow away and impound services,3585
INV14263,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",SERCO,15623.81,2025-04-06,Open spaces management - region 2,3677
INV14264,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,4111.08,2029-12-10,Graffiti management and pressure cleaning services, 
INV14265,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,0.0,2025-11-13,Waste management services,3556
INV14266,['ContractNumber'],"['Provider', 'InvoiceDate']",National Protective Services Pty Ltd,87212.06,2026-07-03,Integrated security services,3686
INV14267,['ContractNumber'],[],Spotless Facility Services Pty Ltd,34079.86,2027-02-28,Street cleaning,3669
INV14268,['ContractNumber'],[],Nationwide Towing Services,100000.83,2029-07-07,Vehicle tow away and impound services,3585
INV14269,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",National Protective Services Pty Ltd,49008.21,2025-06-21,Integrated security services,3686
INV14270,['ContractNumber'],"['Provider', 'InvoiceAmount']",Spotless Facility Services Pty Ltd,154510.62,2025-07-19,Street cleaning,3669
INV14271,['ContractNumber'],['InvoiceDate'],SERCO,200483.68,2027-12-09,Open spaces management - region 2,3677
INV14272,['ContractNumber'],"['Provider', 'InvoiceDate']",Programmed Facility Management Pty Ltd,89013.54,2027-06-14,Building maintenance services,3630
INV14273,['ContractNumber'],[],SERCO,232512.07,2028-12-12,Open spaces management - region 2,3677
INV14274,['ContractNumber'],"['Provider', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,223437.08,2025-06-19,Civil infrastructure services,3665
INV14275,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate', 'ContractTitle']",Citywide Service Solutions Pty Ltd,134151.36,2027-08-15,Civil infrastructure services,3665
INV14276,['ContractNumber'],"['Provider', 'InvoiceDate']",SERCO,157997.42,2028-02-22,Open spaces management - region 2,3677
INV14277,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,170700.22,2026-12-11,Graffiti management and pressure cleaning services,3668
INV14278,['ContractNumber'],"['Provider', 'InvoiceAmount']",Calcorp Services Pty Ltd,210254.26,2027-10-17,Graffiti management and pressure cleaning services,3668
INV14279,['ContractNumber'],"['Provider', 'InvoiceDate']",SERCO,186081.6,2028-05-06,Open spaces management - region 2,3677
INV14280,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Nationwide Towing Services,208630.46,2025-04-23,Vehicle tow away and impound services,3585
INV14281,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,8324.99,2028-02-20,Building cleaning services,3634
INV14282,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,200000.0,2029-09-26,Management of Active Melbourne recreation facilities,3615
INV14283,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate', 'ContractTitle']",Showtime Event Group Pty Ltd,200000.0,2027-06-18,Melbourne Town Hall venue management,3670
INV14284,['ContractNumber'],"['Provider', 'InvoiceDate']",Nationwide Towing Services,134954.85,2027-04-23,Vehicle tow away and impound services,3585
INV14285,['ContractNumber'],"['Provider', 'InvoiceAmount']",Showtime Event Group Pty Ltd,100000.0,2026-10-09,Melbourne Town Hall venue management,3670
INV14286,['ContractNumber'],"['Provider', 'InvoiceAmount']",Reino International Pty Ltd T/A Duncan Solutions,89355.87,2028-12-21,Parking technology services,3623
INV14287,['ContractNumber'],"['Provider', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,172435.88,2028-07-18,Tree management maintenance services,3678
INV14288,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate', 'ContractTitle']",Showtime Event Group Pty Ltd,53319.4,2029-01-27,Melbourne Town Hall venue management,3670
INV14289,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Nationwide Towing Services,200000.0,2025-11-07,Vehicle tow away and impound services,3585
INV14290,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,111486.1,2029-05-25,Graffiti management and pressure cleaning services,3668
INV14291,['ContractNumber'],['InvoiceAmount'],Spotless Facility Services Pty Ltd,233824.8,2025-04-02,Street cleaning,3669
INV14292,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",SERCO,227935.6,2027-05-08,Open spaces management - region 2,3677
INV14293,['ContractNumber'],[],Citywide Service Solutions Pty Ltd,180131.06,2028-04-24,Tree management maintenance services,3678
INV14294,['ContractNumber'],"['Provider', 'InvoiceDate']",Calcorp Services Pty Ltd,197535.03,2026-12-26,Graffiti management and pressure cleaning services,3668
INV14295,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",National Protective Services Pty Ltd,140048.74,2026-05-26,Integrated security services,3686
INV14296,['ContractNumber'],"['Provider', 'InvoiceAmount']",National Protective Services Pty Ltd,70322.81,2027-08-27,Integrated security services,3686
INV14297,['ContractNumber'],['InvoiceDate'],Reino International Pty Ltd T/A Duncan Solutions,188909.13,2027-11-03,Parking technology services,3623
INV14298,['ContractNumber'],"['Provider', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,193457.68,2026-08-05,Parking technology services,3623
INV14299,['ContractNumber'],"['Provider', 'InvoiceAmount']",Calcorp Services Pty Ltd,74286.12,2025-02-08,Graffiti management and pressure cleaning services,3668
INV14300,['ContractNumber'],['InvoiceAmount'],Citywide Service Solutions Pty Ltd,62550.59,2025-11-06,Open spaces management - region 1,3676
INV14301,['ContractNumber'],['InvoiceDate'],National Protective Services Pty Ltd,230510.36,2025-01-20,Integrated security services,3686
INV14302,['ContractNumber'],"['Provider', 'InvoiceDate']",Programmed Facility Management Pty Ltd,217889.99,2027-11-08,Building maintenance services,3630
INV14303,['ContractNumber'],"['Provider', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,234740.79,2027-04-21,Open spaces management - region 1,3676
INV14304,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,158649.13,2028-01-23,Civil infrastructure services,3665
INV14305,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,2517.98,2025-10-14,Open spaces management - region 1,3676
INV14306,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,114878.26,2029-02-24,Tree management maintenance services,3678
INV14307,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Spotless Facility Services Pty Ltd,104321.65,2025-05-10,Street cleaning,3669
INV14308,['ContractNumber'],['InvoiceDate'],Cleanaway Waste Management Limited,164639.76,2029-07-06,Waste management services,3556
INV14309,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,24975.47,2029-01-11,Graffiti management and pressure cleaning services,3668
INV14310,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Spotless Facility Services Pty Ltd,200000.0,2026-05-29,Street cleaning,3669
INV14311,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,93904.8,2027-09-25,Civil infrastructure services,3665
INV14312,['ContractNumber'],['InvoiceDate'],Citywide Service Solutions Pty Ltd,159978.98,2026-01-25,Civil infrastructure services,3665
INV14313,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Spotless Facility Services Pty Ltd,100000.0,2027-12-08,Street cleaning,3669
INV14314,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,66557.92,2025-06-07,Waste management services,3556
INV14315,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Spotless Facility Services Pty Ltd,0.0,2026-12-01,Street cleaning,3669
INV14316,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",National Protective Services Pty Ltd,179321.76,2028-11-13,Integrated security services,3686
INV14317,['ContractNumber'],"['Provider', 'InvoiceDate']",Calcorp Services Pty Ltd,156089.23,2029-11-15,Graffiti management and pressure cleaning services, 
INV14318,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,200000.0,2025-08-16,Civil infrastructure services,3665
INV14319,['ContractNumber'],"['Provider', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,97721.83,2025-04-22,Open spaces management - region 1,3676
INV14320,['ContractNumber'],['Provider'],Showtime Event Group Pty Ltd,29690.73,2027-10-27,Melbourne Town Hall venue management, 
INV14321,['ContractNumber'],"['Provider', 'InvoiceAmount']",Citywide Service Solutions Pty Ltd,178649.65,2029-03-09,Open spaces management - region 1, 
INV14322,['ContractNumber'],"['Provider', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,207922.3,2028-08-21,Open spaces management - region 1,3676
INV14323,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,100000.0,2027-02-23,Tree management maintenance services,3678
INV14324,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,209017.72,2029-06-05,Open spaces management - region 1,3676
INV14325,['ContractNumber'],['InvoiceDate'],Menzies International (Aust) Pty Ltd,48302.0,2028-01-18,Building cleaning services,3634
INV14326,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,89975.73,2026-05-25,Graffiti management and pressure cleaning services,3668
INV14327,['ContractNumber'],"['Provider', 'InvoiceAmount']",Victorian YMCA Community Programming Pty Ltd,0.0,2027-09-27,Management of Active Melbourne recreation facilities,3615
INV14328,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",SERCO,169777.25,2026-04-17,Open spaces management - region 2,3677
INV14329,['ContractNumber'],"['Provider', 'InvoiceAmount']",SERCO,195021.95,2028-11-17,Open spaces management - region 2,3677
INV14330,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,100000.0,2026-07-03,Parking technology services,3623
INV14331,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,100000.0,2028-08-07,Building cleaning services,3634
INV14332,['ContractNumber'],"['Provider', 'InvoiceAmount', 'ContractTitle']",National Protective Services Pty Ltd,100000.0,2025-09-15,Integrated security services,3686
INV14333,['ContractNumber'],"['Provider', 'InvoiceDate']",Programmed Facility Management Pty Ltd,163029.95,2029-07-01,Building maintenance services,3630
INV14334,['ContractNumber'],"['Provider', 'InvoiceAmount']",Citywide Service Solutions Pty Ltd,180607.69,2025-06-28,Tree management maintenance services, 
INV14335,['ContractNumber'],"['Provider', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,131525.44,2029-10-07,Open spaces management - region 1,3676
INV14336,['ContractNumber'],"['Provider', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,166484.21,2027-08-03,Management of Active Melbourne recreation facilities,3615
INV14337,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,116174.24,2028-04-29,Parking technology services,3623
INV14338,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Programmed Facility Management Pty Ltd,200000.0,2026-03-09,Building maintenance services,3630
INV14339,['ContractNumber'],"['Provider', 'InvoiceDate']",Nationwide Towing Services,187060.15,2025-05-07,Vehicle tow away and impound services, 
INV14340,['ContractNumber'],"['Provider', 'InvoiceAmount']",Citywide Service Solutions Pty Ltd,183254.52,2026-12-29,Open spaces management - region 1,3676
INV14341,['ContractNumber'],"['Provider', 'InvoiceAmount']",Showtime Event Group Pty Ltd,100000.0,2026-06-03,Melbourne Town Hall venue management,3670
INV14342,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,100000.0,2029-05-11,Management of Active Melbourne recreation facilities,3615
INV14343,['ContractNumber'],"['Provider', 'InvoiceDate']",Spotless Facility Services Pty Ltd,155600.81,2029-09-22,Street cleaning,3669
INV14344,['ContractNumber'],[],SERCO,17958.07,2025-09-18,Open spaces management - region 2,3677
INV14345,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,139487.78,2026-03-12,Graffiti management and pressure cleaning services,3668
INV14346,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,0.0,2028-01-04,Waste management services,3556
INV14347,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,200000.0,2025-04-15,Tree management maintenance services, 
INV14348,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,114123.56,2028-07-08,Building cleaning services,3634
INV14349,['ContractNumber'],"['Provider', 'InvoiceDate']",National Protective Services Pty Ltd,106319.3,2028-03-10,Integrated security services,3686
INV14350,['ContractNumber'],"['Provider', 'InvoiceDate']",National Protective Services Pty Ltd,86815.8,2027-03-18,Integrated security services,3686
INV14351,['ContractNumber'],"['Provider', 'InvoiceAmount']",National Protective Services Pty Ltd,200000.0,2027-03-28,Integrated security services,3686
INV14352,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Programmed Facility Management Pty Ltd,200000.0,2027-12-25,Building maintenance services,3630
INV14353,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Showtime Event Group Pty Ltd,74469.43,2029-12-14,Melbourne Town Hall venue management,3670
INV14354,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,0.0,2029-08-13,Building cleaning services,3634
INV14355,['ContractNumber'],[],SERCO,35846.29,2026-02-28,Open spaces management - region 2,3677
INV14356,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,102597.34,2027-05-27,Open spaces management - region 1,3676
INV14357,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate', 'ContractTitle']",Citywide Service Solutions Pty Ltd,203808.52,2027-01-09,Civil infrastructure services,3665
INV14358,['ContractNumber'],[],Cleanaway Waste Management Limited,107260.22,2027-03-22,Waste management services,3556
INV14359,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,49621.77,2028-08-29,Waste management services,3556
INV14360,['ContractNumber'],['Provider'],Nationwide Towing Services,153186.58,2027-08-19,Vehicle tow away and impound services,3585
INV14361,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,0.0,2026-10-23,Graffiti management and pressure cleaning services,3668
INV14362,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,61009.97,2029-08-03,Waste management services,3556
INV14363,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Programmed Facility Management Pty Ltd,200624.59,2028-07-07,Building maintenance services,3630
INV14364,['ContractNumber'],['Provider'],SERCO,198148.35,2025-07-06,Open spaces management - region 2,3677
INV14365,['ContractNumber'],"['Provider', 'InvoiceDate']",Showtime Event Group Pty Ltd,15031.27,2029-01-09,Melbourne Town Hall venue management,3670
INV14366,['ContractNumber'],['Provider'],Reino International Pty Ltd T/A Duncan Solutions,219739.31,2029-08-14,Parking technology services,3623
INV14367,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,57238.37,2029-11-19,Graffiti management and pressure cleaning services,3668
INV14368,['ContractNumber'],"['Provider', 'InvoiceDate']",Calcorp Services Pty Ltd,82965.93,2027-09-30,Graffiti management and pressure cleaning services,3668
INV14369,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Nationwide Towing Services,202060.37,2027-11-03,Vehicle tow away and impound services,3585
INV14370,['ContractNumber'],"['Provider', 'InvoiceAmount']",National Protective Services Pty Ltd,8915.93,2025-04-10,Integrated security services,3686
INV14371,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,140893.56,2029-09-09,Parking technology services, 
INV14372,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,183590.34,2029-11-11,Graffiti management and pressure cleaning services,3668
INV14373,['ContractNumber'],"['Provider', 'InvoiceDate']",Cleanaway Waste Management Limited,161320.8,2025-08-03,Waste management services,3556
INV14374,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,38587.14,2026-03-09,Parking technology services,3623
INV14375,['ContractNumber'],"['Provider', 'InvoiceDate']",SERCO,103901.11,2029-06-29,Open spaces management - region 2,3677
INV14376,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,93791.86,2029-10-06,Waste management services,3556
INV14377,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Spotless Facility Services Pty Ltd,225208.61,2029-01-10,Street cleaning,3669
INV14378,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,133250.37,2025-04-03,Parking technology services,3623
INV14379,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,247209.86,2028-09-03,Waste management services, 
INV14380,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Spotless Facility Services Pty Ltd,171299.64,2026-08-25,Street cleaning,3669
INV14381,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Showtime Event Group Pty Ltd,100000.0,2027-12-16,Melbourne Town Hall venue management,3670
INV14382,['ContractNumber'],['Provider'],Showtime Event Group Pty Ltd,152693.82,2025-05-06,Melbourne Town Hall venue management,3670
INV14383,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,100000.0,2028-05-17,Graffiti management and pressure cleaning services,3668
INV14384,"['InvoiceAmount', 'ContractNumber']","['Provider', 'InvoiceDate']",Programmed Facility Management Pty Ltd,,2025-01-30,Building maintenance services,3630
INV14385,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,246120.36,2029-08-05,Tree management maintenance services,3678
INV14386,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",National Protective Services Pty Ltd,0.0,2027-11-29,Integrated security services,3686
INV14387,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Nationwide Towing Services,200000.0,2027-02-11,Vehicle tow away and impound services,3585
INV14388,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",SERCO,140070.51,2028-04-11,Open spaces management - region 2,3677
INV14389,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",SERCO,7144.91,2027-06-25,Open spaces management - region 2,3677
INV14390,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Cleanaway Waste Management Limited,200000.0,2027-01-06,Waste management services,3556
INV14391,['ContractNumber'],['InvoiceDate'],Citywide Service Solutions Pty Ltd,234746.12,2027-10-23,Open spaces management - region 1,3676
INV14392,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",SERCO,166748.36,2028-05-29,Open spaces management - region 2,3677
INV14393,['ContractNumber'],"['Provider', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,48233.54,2027-05-13,Building cleaning services,3634
INV14394,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,59885.33,2027-02-14,Building cleaning services,3634
INV14395,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Showtime Event Group Pty Ltd,217146.91,2029-12-16,Melbourne Town Hall venue management,3670
INV14396,['ContractNumber'],"['Provider', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,76216.35,2029-11-26,Building cleaning services,3634
INV14397,['ContractNumber'],"['InvoiceDate', 'ContractTitle']",SERCO,24340.27,2025-02-09,Open spaces management - region 2,3677
INV14398,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,24816.87,2027-09-27,Graffiti management and pressure cleaning services, 
INV14399,['ContractNumber'],['InvoiceDate'],Cleanaway Waste Management Limited,192364.6,2027-03-22,Waste management services,3556
INV14400,['ContractNumber'],"['Provider', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,165110.51,2026-06-24,Management of Active Melbourne recreation facilities,3615
INV14401,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,110791.54,2029-07-10,Tree management maintenance services,3678
INV14402,['ContractNumber'],"['Provider', 'InvoiceDate']",Menzies International (Aust) Pty Ltd,32097.29,2028-09-28,Building cleaning services,3634
